date,albany_do,norrie_do,albany_rainfall,norrie_rainfall,albany_turbidity,norrie_turbidity
2011-08-27 15:15:00,7.9,7.65,0.0,0.349999,4.6,19.6
2011-08-27 15:30:00,7.9,7.55,0.0,0.359999,3.9,23.2
2011-08-27 15:45:00,7.95,7.65,0.0,0.369999,4.3,21.7
2011-08-27 16:00:00,7.91,7.41,0.0,0.389999,4.1,24.9
2011-08-27 16:15:00,7.89,7.41,0.0,0.389999,4.4,26.2
2011-08-27 16:30:00,8.02,7.42,0.0,0.389999,3.8,25.6
2011-08-27 16:45:00,7.97,7.5,0.0,0.389999,3.9,26.1
2011-08-27 17:00:00,7.99,7.44,0.0,0.389999,4.2,24.8
2011-08-27 17:15:00,8.02,7.39,0.17,0.389999,4.5,24.6
2011-08-27 17:30:00,8.09,7.36,0.22,0.389999,4.3,30.0
2011-08-27 17:45:00,8.08,7.33,0.22,0.389999,4.4,27.2
2011-08-27 18:00:00,8.09,7.2,0.22,0.389999,4.8,28.9
2011-08-27 18:15:00,8.12,6.97,0.23,0.389999,5.1,27.5
2011-08-27 18:30:00,8.14,7.1,0.24,0.389999,5.9,29.2
2011-08-27 18:45:00,8.11,7.28,0.24,0.389999,5.5,32.4
2011-08-27 19:00:00,8.09,7.27,0.24,0.389999,4.9,23.9
2011-08-27 19:15:00,8.08,7.4,0.24,0.389999,5.1,23.4
2011-08-27 19:30:00,8.1,7.37,0.24,0.389999,4.8,21.9
2011-08-27 19:45:00,8.07,7.45,0.24,0.389999,5.1,17.7
2011-08-27 20:00:00,7.93,7.52,0.24,0.399999,6.0,16.5
2011-08-27 20:15:00,7.97,7.58,0.24,0.409999,3.8,14.2
2011-08-27 20:30:00,7.99,7.38,0.24,0.419999,5.4,15.4
2011-08-27 20:45:00,7.92,7.46,0.25,0.429999,5.1,20.9
2011-08-27 21:00:00,7.95,7.43,0.25,0.429999,5.0,19.7
2011-08-27 21:15:00,7.97,7.38,0.25,0.429999,6.5,19.4
2011-08-27 21:30:00,7.89,7.34,0.25,0.439999,4.4,21.1
2011-08-27 21:45:00,7.93,7.34,0.25,0.449999,4.5,17.2
2011-08-27 22:00:00,7.87,7.3,0.25,0.459999,3.6,18.9
2011-08-27 22:15:00,7.87,7.33,0.259999,0.459999,4.5,16.6
2011-08-27 22:30:00,7.81,7.32,0.299999,0.469999,3.9,15.9
2011-08-27 22:45:00,7.93,7.29,0.299999,0.479999,4.4,19.8
2011-08-27 23:00:00,7.94,7.29,0.309999,0.499999,4.7,18.8
2011-08-27 23:15:00,7.91,7.28,0.309999,0.509999,4.5,19.3
2011-08-27 23:30:00,7.9,7.3,0.309999,0.539999,4.1,20.4
2011-08-27 23:45:00,7.91,7.26,0.309999,0.589999,4.3,22.6
2011-08-28 00:00:00,7.93,7.29,0.319999,0.639999,4.5,20.5
2011-08-28 00:15:00,7.9,7.29,0.329999,0.769998,3.6,23.4
2011-08-28 00:30:00,7.83,7.3,0.329999,0.899998,3.6,21.1
2011-08-28 00:45:00,7.84,7.18,0.359999,0.949998,4.2,36.5
2011-08-28 01:00:00,7.82,7.07,0.04,0.08,3.9,30.7
2011-08-28 01:15:00,7.79,7.23,0.08,0.18,3.8,37.0
2011-08-28 01:30:00,7.78,7.23,0.12,0.23,3.0,31.7
2011-08-28 01:45:00,7.77,7.22,0.19,0.259999,4.1,27.6
2011-08-28 02:00:00,7.75,7.29,0.24,0.279999,4.5,32.5
2011-08-28 02:15:00,7.85,7.29,0.299999,0.329999,3.9,27.5
2011-08-28 02:30:00,7.83,7.26,0.349999,0.389999,5.4,25.6
2011-08-28 02:45:00,7.8,7.24,0.449999,0.459999,4.6,28.2
2011-08-28 03:00:00,7.81,7.3,0.479999,0.549999,5.2,27.6
2011-08-28 03:15:00,7.88,7.3,0.529999,0.669999,4.5,20.5
2011-08-28 03:30:00,7.88,7.27,0.579999,0.819998,4.8,22.0
2011-08-28 03:45:00,7.85,7.29,0.609999,0.929998,4.7,22.2
2011-08-28 04:00:00,7.82,7.26,0.639999,1.059998,4.7,28.8
2011-08-28 04:15:00,7.81,7.27,0.679999,1.169998,4.7,24.5
2011-08-28 04:30:00,7.85,7.27,0.719999,1.279997,4.3,23.0
2011-08-28 04:45:00,7.82,7.27,0.769998,1.519997,4.7,24.6
2011-08-28 05:00:00,7.84,7.33,0.819998,1.669997,4.6,24.6
2011-08-28 05:15:00,7.81,7.34,0.869998,1.759996,5.0,25.0
2011-08-28 05:30:00,7.79,7.36,0.959998,1.869996,4.8,26.0
2011-08-28 05:45:00,7.84,7.38,1.059998,1.939996,5.0,30.3
2011-08-28 06:00:00,7.82,7.35,1.159998,2.039996,5.4,33.2
2011-08-28 06:15:00,7.8,7.38,1.199998,2.169996,5.1,32.9
2011-08-28 06:30:00,7.79,7.38,1.249998,2.329995,5.5,29.6
2011-08-28 06:45:00,7.76,7.39,1.289997,2.389995,5.4,32.4
2011-08-28 07:00:00,7.77,7.38,1.379997,2.509995,5.6,26.3
2011-08-28 07:15:00,7.81,7.35,1.429997,2.699995,5.3,32.7
2011-08-28 07:30:00,7.78,7.32,1.479997,3.099994,5.4,39.0
2011-08-28 07:45:00,7.77,7.38,1.519997,3.309993,5.2,38.5
2011-08-28 08:00:00,7.78,7.38,1.579997,3.389993,5.7,25.6
2011-08-28 08:15:00,7.82,7.37,1.679997,3.509993,6.0,27.5
2011-08-28 08:30:00,7.74,7.45,1.729997,3.639993,4.9,23.6
2011-08-28 08:45:00,7.94,7.48,1.839996,3.769992,6.0,20.2
2011-08-28 09:00:00,7.97,7.47,1.969996,3.879992,6.1,22.2
2011-08-28 09:15:00,8.0,7.46,2.079996,3.969992,6.7,25.7
